dali_product_id,brand_name,product_name,product_part_number,gtin,DALI Parts
12030,Inventronics,IT DALI 40/220-240/0A45/N DS L,AM53148,6937186168405,"101,102,207,251,252,253"
12031,Inventronics,IT DALI 80/220-240/0A55/N DS L,AM53149,6937186168429,"101,102,207,251,252,253"
12034,LiFud,LF-ADD013-0400-42 Pro,00789091051848,00789091051848,"101,102,207,251,252,253"
12035,LiFud,LF-ADD020-0500-42 Pro,00789091051855,00789091051855,"101,102,207,251,252,253"
12036,LiFud,LF-ADD030-0750-42 Pro,00789091051862,00789091051862,"101,102,207,251,252,253"
12040,LiFud,LF-ADD040-1050-42 Pro,00789091051879,00789091051879,"101,102,207,251,252,253"
12047,BOKE,BK-DFL040S-AHA1050ADP,6971571384957,6971571384957,"101,102,207,250,251,252,253"
12048,BOKE,BK-DFL040S-AHA1050ADN,6971571384964,6971571384964,"101,102,207,250,251,252,253"
10915,MOSO,N8H-500D500,N8H-500D500,6972911672024,"101,102,150,207,250,251,252,253"
11997,MOSO,X8-100D143,X8-100D143,6972911671126,"101,102,150,207,250,251,252,253"
12038,DONE,DL-50W-V24D-RAS,DL-50W-V24D-RAS,06976232110425,"101,102,207,251"
12032,SP Unite,P65MINI-DT6,P65MINI-DT6,6976861530045,"101,102,207,251"
11998,Snappy,SDL240-24VF8,SDL240-24VF8,6972383240875,"101,102,207,209"
12005,"b,a,g, India",LEDC BAG CCD150-20/MI15/DSDT6/2314S,10328473,8908023385222,"101,102,207,251,252,253"
